entry_id,entry_type,date,line_no,dc,account,amount_eur,source_currency,source_amount,rate_source,rate_used,memo,status
TX_bb992164_0016,single,2025-02-27,1,D,61120,1.02,EUR,-1.02,,,"171832938 PLAIS palaikymo mokestis.+16814/60+2025-02-26+Debeto mokėjimo nurodymas Nr. 16814 Soc. dr. įmokų įsiskolinimas už 2025 m. 1 mėn. , dok. nr. 16814/60-162, unik. mokėj. kodas 16814/60-157, mok. ident. kodas 303104758, operacijos nr. RO1775142650L01",draft
TX_bb992164_0016,single,2025-02-27,2,C,2710,1.02,EUR,-1.02,,,"171832938 PLAIS palaikymo mokestis.+16814/60+2025-02-26+Debeto mokėjimo nurodymas Nr. 16814 Soc. dr. įmokų įsiskolinimas už 2025 m. 1 mėn. , dok. nr. 16814/60-162, unik. mokėj. kodas 16814/60-157, mok. ident. kodas 303104758, operacijos nr. RO1775142650L01",draft
TX_bb992164_0017,single,2025-02-27,1,D,635,48.69,EUR,-48.69,,,"+16814/60+2025-02-26+Debeto mokėjimo nurodymas Nr. 16814 Soc. dr. įmokų įsiskolinimas už 2025 m. 1 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 16814/60-163, unik. mokėj. kodas 16814/60-156, mok. ident. kodas 303104758, operacijos nr. RD241041768",draft
TX_bb992164_0017,single,2025-02-27,2,C,2710,48.69,EUR,-48.69,,,"+16814/60+2025-02-26+Debeto mokėjimo nurodymas Nr. 16814 Soc. dr. įmokų įsiskolinimas už 2025 m. 1 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 16814/60-163, unik. mokėj. kodas 16814/60-156, mok. ident. kodas 303104758, operacijos nr. RD241041768",draft
TX_bb992164_0018,single,2025-03-05,1,D,61120,0.33,EUR,-0.33,,,"Mokestis, operacijos nr. RO1782475856L03",draft
TX_bb992164_0018,single,2025-03-05,2,C,2710,0.33,EUR,-0.33,,,"Mokestis, operacijos nr. RO1782475856L03",draft
TX_bb992164_0019,single,2025-03-05,1,D,4430,227.48,EUR,-227.48,,,"Serija LTMD Nr. 008295, dok. nr. 408, operacijos nr. RO1782475856L01",draft
TX_bb992164_0019,single,2025-03-05,2,C,2710,227.48,EUR,-227.48,,,"Serija LTMD Nr. 008295, dok. nr. 408, operacijos nr. RO1782475856L01",draft
TX_bb992164_0020,single,2025-03-08,1,D,61120,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už kovą 2025, operacijos nr. RO1785164344L01",draft
TX_bb992164_0020,single,2025-03-08,2,C,2710,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už kovą 2025, operacijos nr. RO1785164344L01",draft
TX_bb992164_0021,single,2025-03-31,1,D,61120,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1810737152L03",draft
TX_bb992164_0021,single,2025-03-31,2,C,2710,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1810737152L03",draft
TX_bb992164_0022,single,2025-03-31,1,D,61120,1.02,EUR,-1.02,,,"173720114 PLAIS palaikymo mokestis.+25720/60+2025-03-28+Debeto mokėjimo nurodymas Nr. 25720 Soc. dr. įmokų įsiskolinimas už 2025 m. 2 mėn. , dok. nr. 25720/60-113, unik. mokėj. kodas 25720/60-110, mok. ident. kodas 303104758, operacijos nr. RO1810737152L01",draft
TX_bb992164_0022,single,2025-03-31,2,C,2710,1.02,EUR,-1.02,,,"173720114 PLAIS palaikymo mokestis.+25720/60+2025-03-28+Debeto mokėjimo nurodymas Nr. 25720 Soc. dr. įmokų įsiskolinimas už 2025 m. 2 mėn. , dok. nr. 25720/60-113, unik. mokėj. kodas 25720/60-110, mok. ident. kodas 303104758, operacijos nr. RO1810737152L01",draft
TX_bb992164_0023,single,2025-03-31,1,D,635,49.87,EUR,-49.87,,,"+25720/60+2025-03-28+Debeto mokėjimo nurodymas Nr. 25720 Soc. dr. įmokų įsiskolinimas už 2025 m. 2 mėn. Delspinigiai draudėjų: 1,18 Eur. Įm, dok. nr. 25720/60-114, unik. mokėj. kodas 25720/60-109, mok. ident. kodas 303104758, operacijos nr. RD244353086",draft
TX_bb992164_0023,single,2025-03-31,2,C,2710,49.87,EUR,-49.87,,,"+25720/60+2025-03-28+Debeto mokėjimo nurodymas Nr. 25720 Soc. dr. įmokų įsiskolinimas už 2025 m. 2 mėn. Delspinigiai draudėjų: 1,18 Eur. Įm, dok. nr. 25720/60-114, unik. mokėj. kodas 25720/60-109, mok. ident. kodas 303104758, operacijos nr. RD244353086",draft
TX_bb992164_0024,single,2025-04-08,1,D,61120,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už balandį 2025, operacijos nr. RO1819525994L01",draft
TX_bb992164_0024,single,2025-04-08,2,C,2710,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už balandį 2025, operacijos nr. RO1819525994L01",draft
TX_bb992164_0025,single,2025-04-10,1,D,61120,0.33,EUR,-0.33,,,"Mokestis, operacijos nr. RO1823164311L03",draft
TX_bb992164_0025,single,2025-04-10,2,C,2710,0.33,EUR,-0.33,,,"Mokestis, operacijos nr. RO1823164311L03",draft
TX_bb992164_0026,single,2025-04-10,1,D,4430,210.05,EUR,-210.05,,,"Serija M Nr. 17182195258, dok. nr. 410, operacijos nr. RO1823164311L01",draft
TX_bb992164_0026,single,2025-04-10,2,C,2710,210.05,EUR,-210.05,,,"Serija M Nr. 17182195258, dok. nr. 410, operacijos nr. RO1823164311L01",draft
TX_bb992164_0027,conversion,2025-04-10,1,D,2710,1940.58,EUR,1940.58,LB_LT,0.86435,"Valiutos keitimas GBP -> EUR 1738.82 GBP/0.89603000/, dok. nr. VALKONV409, operacijos nr. RO1823148118L03",draft
TX_bb992164_0027,conversion,2025-04-10,2,C,2715,2011.71,GBP,-1738.82,LB_LT,0.86435,"Valiutos keitimas GBP -> EUR 1738.82 GBP/0.89603000/, dok. nr. VALKONV409, operacijos nr. RO1823148118L03",draft
TX_bb992164_0027,conversion,2025-04-10,3,D,636,71.13,EUR,71.13,LB_LT,0.86435,FX loss based on LB LT rate,draft
TX_bb992164_0028,single,2025-04-22,1,D,4430,100.0,EUR,-100.0,,,"card, dok. nr. 411, mok. ident. kodas 303104758, operacijos nr. RO1836763821L01",draft
TX_bb992164_0028,single,2025-04-22,2,C,2710,100.0,EUR,-100.0,,,"card, dok. nr. 411, mok. ident. kodas 303104758, operacijos nr. RO1836763821L01",draft
TX_bb992164_0029,single,2025-04-30,1,D,2710,800.0,EUR,800.0,,,"Pagal 2025 04 25 s/f NEO Nr. 000189, dok. nr. 2150, operacijos nr. RO1845729322L02",draft
TX_bb992164_0029,single,2025-04-30,2,C,2410,800.0,EUR,800.0,,,"Pagal 2025 04 25 s/f NEO Nr. 000189, dok. nr. 2150, operacijos nr. RO1845729322L02",draft
TX_bb992164_0030,single,2025-05-02,1,D,61120,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1847075298L03",draft
TX_bb992164_0030,single,2025-05-02,2,C,2710,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1847075298L03",draft
TX_bb992164_0031,single,2025-05-02,1,D,61120,1.02,EUR,-1.02,,,"175336251 PLAIS palaikymo mokestis.+33231/60+2025-04-30+Debeto mokėjimo nurodymas Nr. 33231 Soc. dr. įmokų įsiskolinimas už 2025 m. 3 mėn. , dok. nr. 33231/60-92, unik. mokėj. kodas 33231/60-89, mok. ident. kodas 303104758, operacijos nr. RO1847075298L01",draft
TX_bb992164_0031,single,2025-05-02,2,C,2710,1.02,EUR,-1.02,,,"175336251 PLAIS palaikymo mokestis.+33231/60+2025-04-30+Debeto mokėjimo nurodymas Nr. 33231 Soc. dr. įmokų įsiskolinimas už 2025 m. 3 mėn. , dok. nr. 33231/60-92, unik. mokėj. kodas 33231/60-89, mok. ident. kodas 303104758, operacijos nr. RO1847075298L01",draft
TX_bb992164_0032,single,2025-05-02,1,D,635,44.94,EUR,-44.94,,,"+33231/60+2025-04-30+Debeto mokėjimo nurodymas Nr. 33231 Soc. dr. įmokų įsiskolinimas už 2025 m. 3 mėn. Delspinigiai draudėjų: 0,50 Eur. Įm, dok. nr. 33231/60-93, unik. mokėj. kodas 33231/60-88, mok. ident. kodas 303104758, operacijos nr. RD247764717",draft
TX_bb992164_0032,single,2025-05-02,2,C,2710,44.94,EUR,-44.94,,,"+33231/60+2025-04-30+Debeto mokėjimo nurodymas Nr. 33231 Soc. dr. įmokų įsiskolinimas už 2025 m. 3 mėn. Delspinigiai draudėjų: 0,50 Eur. Įm, dok. nr. 33231/60-93, unik. mokėj. kodas 33231/60-88, mok. ident. kodas 303104758, operacijos nr. RD247764717",draft
TX_bb992164_0033,single,2025-05-05,1,D,61120,0.33,EUR,-0.33,,,"Mokestis RD248074234, operacijos nr. RO1851182584L03",draft
TX_bb992164_0033,single,2025-05-05,2,C,2710,0.33,EUR,-0.33,,,"Mokestis RD248074234, operacijos nr. RO1851182584L03",draft
TX_bb992164_0034,single,2025-05-05,1,D,4430,251.72,EUR,-251.72,,,"PSD2 - 3767916, unik. mokėj. kodas 56823187, operacijos nr. RD248074234",draft
TX_bb992164_0034,single,2025-05-05,2,C,2710,251.72,EUR,-251.72,,,"PSD2 - 3767916, unik. mokėj. kodas 56823187, operacijos nr. RD248074234",draft
TX_bb992164_0035,single,2025-05-08,1,D,61120,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už gegužę 2025, operacijos nr. RO1853653788L01",draft
TX_bb992164_0035,single,2025-05-08,2,C,2710,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už gegužę 2025, operacijos nr. RO1853653788L01",draft
TX_bb992164_0036,single,2025-05-29,1,D,61120,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1878413840L03",draft
TX_bb992164_0036,single,2025-05-29,2,C,2710,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1878413840L03",draft
TX_bb992164_0037,single,2025-05-29,1,D,61120,1.02,EUR,-1.02,,,"176934775 PLAIS palaikymo mokestis.+36765/60+2025-05-27+Debeto mokėjimo nurodymas Nr. 36765 Soc. dr. įmokų įsiskolinimas už 2025 m. 4 mėn. , dok. nr. 36765/60-118, unik. mokėj. kodas 36765/60-115, mok. ident. kodas 303104758, operacijos nr. RO1878413840L01",draft
TX_bb992164_0037,single,2025-05-29,2,C,2710,1.02,EUR,-1.02,,,"176934775 PLAIS palaikymo mokestis.+36765/60+2025-05-27+Debeto mokėjimo nurodymas Nr. 36765 Soc. dr. įmokų įsiskolinimas už 2025 m. 4 mėn. , dok. nr. 36765/60-118, unik. mokėj. kodas 36765/60-115, mok. ident. kodas 303104758, operacijos nr. RO1878413840L01",draft
TX_bb992164_0038,single,2025-05-29,1,D,635,48.69,EUR,-48.69,,,"+36765/60+2025-05-27+Debeto mokėjimo nurodymas Nr. 36765 Soc. dr. įmokų įsiskolinimas už 2025 m. 4 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 36765/60-119, unik. mokėj. kodas 36765/60-114, mok. ident. kodas 303104758, operacijos nr. RD250716992",draft
TX_bb992164_0038,single,2025-05-29,2,C,2710,48.69,EUR,-48.69,,,"+36765/60+2025-05-27+Debeto mokėjimo nurodymas Nr. 36765 Soc. dr. įmokų įsiskolinimas už 2025 m. 4 mėn. Įmokos draudėjų: 48,69 Eur., dok. nr. 36765/60-119, unik. mokėj. kodas 36765/60-114, mok. ident. kodas 303104758, operacijos nr. RD250716992",draft
TX_bb992164_0039,single,2025-06-08,1,D,61120,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už birželį 2025, operacijos nr. RO1889435479L01",draft
TX_bb992164_0039,single,2025-06-08,2,C,2710,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už birželį 2025, operacijos nr. RO1889435479L01",draft
TX_bb992164_0040,single,2025-06-19,1,D,61120,0.33,EUR,-0.33,,,"Mokestis, operacijos nr. RO1903821445L03",draft
TX_bb992164_0040,single,2025-06-19,2,C,2710,0.33,EUR,-0.33,,,"Mokestis, operacijos nr. RO1903821445L03",draft
TX_bb992164_0041,single,2025-06-19,1,D,4430,182.26,EUR,-182.26,,,"Serija M Nr. 17183771781, dok. nr. 412, operacijos nr. RO1903821445L01",draft
TX_bb992164_0041,single,2025-06-19,2,C,2710,182.26,EUR,-182.26,,,"Serija M Nr. 17183771781, dok. nr. 412, operacijos nr. RO1903821445L01",draft
TX_bb992164_0042,single,2025-06-30,1,D,61120,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1915117914L03",draft
TX_bb992164_0042,single,2025-06-30,2,C,2710,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1915117914L03",draft
